full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
jarrodwatts/claude-code-config,943,943,114,1,1,0,https://github.com/jarrodwatts/claude-code-config
zhukunpenglinyutong/idea-claude-code-gui,1285,1285,139,1,1,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
simonw/claude-code-transcripts,1033,1033,114,2,2,0,https://github.com/simonw/claude-code-transcripts
pchalasani/claude-code-tools,1468,1468,93,2,2,0,https://github.com/pchalasani/claude-code-tools
wasabeef/claude-code-cookbook,1009,1009,108,0,0,0,https://github.com/wasabeef/claude-code-cookbook
revfactory/claude-code-mastering,755,755,122,0,0,0,https://github.com/revfactory/claude-code-mastering
obra/superpowers,57061,57061,4321,225,225,19,https://github.com/obra/superpowers
jeremylongshore/claude-code-plugins-plus-skills,1405,1405,169,1,1,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
danielmiessler/Personal_AI_Infrastructure,9023,9023,1234,12,12,2,https://github.com/danielmiessler/Personal_AI_Infrastructure
d-kimuson/claude-code-viewer,903,903,100,3,3,0,https://github.com/d-kimuson/claude-code-viewer
ComposioHQ/awesome-claude-skills,36507,36507,3561,65,65,5,https://github.com/ComposioHQ/awesome-claude-skills
trailofbits/claude-code-config,1197,1197,86,9,9,2,https://github.com/trailofbits/claude-code-config
alirezarezvani/claude-code-tresor,528,528,125,0,0,1,https://github.com/alirezarezvani/claude-code-tresor
anthropics/claude-agent-sdk-demos,1482,1482,237,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
opactorai/Claudable,3743,3743,566,0,0,0,https://github.com/opactorai/Claudable
numman-ali/openskills,8386,8386,544,1,1,0,https://github.com/numman-ali/openskills
browser-use/browser-use,78689,78689,9314,30,30,0,https://github.com/browser-use/browser-use
anthropics/claude-agent-sdk-python,4913,4913,648,4,4,0,https://github.com/anthropics/claude-agent-sdk-python
alirezarezvani/claude-skills,1905,1905,231,4,4,0,https://github.com/alirezarezvani/claude-skills
ericbuess/claude-code-docs,696,696,100,1,1,0,https://github.com/ericbuess/claude-code-docs
farion1231/cc-switch,19169,19169,1197,28,28,0,https://github.com/farion1231/cc-switch
code-yeongyu/oh-my-opencode,32872,32872,2479,66,66,4,https://github.com/code-yeongyu/oh-my-opencode
kn1026/cc,705,705,270,0,0,0,https://github.com/kn1026/cc
severity1/claude-code-prompt-improver,1133,1133,97,0,0,0,https://github.com/severity1/claude-code-prompt-improver
kepano/obsidian-skills,10281,10281,545,18,18,0,https://github.com/kepano/obsidian-skills
superdesigndev/superdesign,6005,6005,679,0,0,0,https://github.com/superdesigndev/superdesign
lyconear/Claude-Code,4,4,145,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1839,1839,58,0,0,0,https://github.com/greggh/claude-code.nvim
MadAppGang/claude-code,235,235,24,1,1,0,https://github.com/MadAppGang/claude-code
anomalyco/opencode,108187,108187,10697,137,137,22,https://github.com/anomalyco/opencode
BloopAI/vibe-kanban,21575,21575,2073,15,15,2,https://github.com/BloopAI/vibe-kanban
laravel/claude-code,500,500,16,0,0,0,https://github.com/laravel/claude-code
upstash/context7,46433,46433,2201,18,18,1,https://github.com/upstash/context7
Matt-Dionis/claude-code-configs,618,618,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
Yeachan-Heo/oh-my-claudecode,6896,6896,488,19,19,1,https://github.com/Yeachan-Heo/oh-my-claudecode
manzaltu/claude-code-ide.el,1357,1357,76,1,1,0,https://github.com/manzaltu/claude-code-ide.el
